shortcode,date,title,price_mxn,price_usd,is_sold,caption_preview,url
Cwqsg_suFeW,2023-09-01,Fender American Vintage II 1966 Jazzmaster 2022 Matching Headstock – Lake Placid Blue,45999,,NO,guitarshome   135w Fender American Vintage II 1966 Jazzmaster 2022 Matching Head,https://www.instagram.com/p/Cwqsg_suFeW/
CwqILKkOS0m,2023-09-01,Gibson Les Paul Historic 1957 Custom Shop ’57 R7 2009 - Goldtop,81999,,NO,guitarshome   135w Gibson Les Paul Historic 1957 Custom Shop ’57 R7 2009 - Goldt,https://www.instagram.com/p/CwqILKkOS0m/
Cwoiv5uO7c8,2023-09-01,Heritage H-150 Les Paul Standard 2022 - Dirty Lemon,51999,,NO,"guitarshome   135w Heritage H-150 Les Paul Standard 2022 - Dirty Lemon  *** $51,",https://www.instagram.com/p/Cwoiv5uO7c8/
CwoCJdGOGbj,2023-08-31,Suhr Classic S Antique Roasted HSS Limited Edition - Sunburst,69999,,NO,guitarshome   135w Suhr Classic S Antique Roasted HSS Limited Edition - Sunburst,https://www.instagram.com/p/CwoCJdGOGbj/
CwnaqwTu9j-,2023-08-31,PRS Wood Library Custom 24 Quilt 10 Top – Mccarty Sunburst,87999,,NO,guitarshome   135w PRS Wood Library Custom 24 Quilt 10 Top – Mccarty Sunburst **,https://www.instagram.com/p/CwnaqwTu9j-/
CwllbGhu2Cm,2023-08-30,Charvel Pro-Mod DK24 HSS Floyd Rose – Fity Blue,20999,,NO,"guitarshome   135w Charvel Pro-Mod DK24 HSS Floyd Rose – Fity Blue  *** $20,999 ",https://www.instagram.com/p/CwllbGhu2Cm/
Cwk4oM8OLsh,2023-08-30,Gibson Custom Shop Les Paul Custom Figured Rare Limited Edition - Dark Amber,105999,,NO,guitarshome   135w Gibson Custom Shop Les Paul Custom Figured Rare Limited Editi,https://www.instagram.com/p/Cwk4oM8OLsh/
CwjW1EXuOur,2023-08-30,Edited,91999,,NO,guitarshome   Edited • 135w Gibson SG Les Paul 1961 Custom Shop Murphy Lab Rare ,https://www.instagram.com/p/CwjW1EXuOur/
CwieOk4uj-T,2023-08-29,Fender 1962 Jazz Bass Custom Shop 30th Anniversary - Journeyman Relic Surf Green,74999,,NO,guitarshome   135w Fender 1962 Jazz Bass Custom Shop 30th Anniversary - Journeym,https://www.instagram.com/p/CwieOk4uj-T/
Cwi8xe3u9_K,2023-08-29,Suhr Standard Legacy Limited Edition - Aged Cherry Burst,68999,,NO,guitarshome   135w Suhr Standard Legacy Limited Edition - Aged Cherry Burst *** ,https://www.instagram.com/p/Cwi8xe3u9_K/
CwgTheru1_Y,2023-08-28,Gibson ES-335 Figured Cherry,77999,,NO,"guitarshome   135w Gibson ES-335 Figured Cherry  *** $77,999 ***  Visita WWW.GUI",https://www.instagram.com/p/CwgTheru1_Y/
Cwfrv6OuVtM,2023-08-28,Gibson Les Paul Standard ’60s Iced Tea Burst 2022,55999,,NO,"guitarshome   135w Gibson Les Paul Standard ’60s Iced Tea Burst 2022 *** $55,999",https://www.instagram.com/p/Cwfrv6OuVtM/
CwdmxO5u-sx,2023-08-27,The King of the Flat Tops!! – GIbson SJ-200 Autumn Burst 2023,,,SI,guitarshome   135w The King of the Flat Tops!! GIbson SJ-200 Autumn Burst 2023  ,https://www.instagram.com/p/CwdmxO5u-sx/
CwdFv6COmOI,2023-08-27,Gibson Les Paul Classic 2021 HoneyBurst,45999,,NO,"guitarshome   135w Gibson Les Paul Classic 2021 HoneyBurst  *** $45,999 ***  Vis",https://www.instagram.com/p/CwdFv6COmOI/
CwYNRhAud5c,2023-08-25,Edited,,,NO,guitarshome   Edited • 136w GUITARS-HOME Presents in memorial of Bernie Marsden.,https://www.instagram.com/p/CwYNRhAud5c/
CwY-VmNuEaG,2023-08-26,Gibson Les Paul Standard '50s P-90 2023 - Goldtop,56999,,NO,"guitarshome   136w Gibson Les Paul Standard '50s P-90 2023 - Goldtop  *** $56,99",https://www.instagram.com/p/CwY-VmNuEaG/
CwWfvjJO5Kr,2023-08-25,Duesenberg Starplayer TV Plus (Piezo) 2021 - Black,59999,,NO,"guitarshome   136w Duesenberg Starplayer TV Plus (Piezo) 2021 - Black   *** $59,",https://www.instagram.com/p/CwWfvjJO5Kr/
CwVhE0lOUIA,2023-08-24,PRS McCarty 594 Wood Library P-90 RARE Limited Brazilian Rosewood – Angry Larry,93999,,NO,guitarshome   136w PRS McCarty 594 Wood Library P-90 RARE Limited Brazilian Rose,https://www.instagram.com/p/CwVhE0lOUIA/
